id_peli,titulo,genero,rating
8,How to Survive a Plague,accion,2.6
15,Dragonquest,accion,6.4
16,North Face,accion,9.8
17,Satans Tango ,accion,1.6
20,Boy Meets Boy,accion,7.8
22,Naked in New York,accion,1.6
23,American Winter,accion,10.0
24,Tic Code,accion,6.4
35,With Love,accion,4.8
36,Questioning Darwin,accion,6.5
40,Saturday Night Fever,accion,8.7
51,Robot Carnival,accion,4.3
55,Divorcee,accion,7.3
57,Dragon Ball Z,accion,8.3
62,Dawn Rider,accion,7.6
63,Invaders from Mars,accion,9.5
65,10 000 timmar,accion,2.4
71,Dr. Jack,accion,9.1
76,North to Alaska,accion,4.2
79,Kanine,accion,9.8
85,Quicksilver Highway,accion,8.9
87,Je appelle Elisabeth,accion,7.3
96,Way We Laughed,accion,1.4
99,Jimmy Rosenberg,accion,1.8
