id_peli,titulo,genero,rating
1,Docks of New York,comedia,8.2
2,Generals Daughter,comedia,8.8
3,Angry Silence,comedia,6.1
4,Day After Trinity,comedia,8.9
5,Disneyland Dream,comedia,3.9
6,Eenfance naked Childhood,comedia,8.9
7,Who Is John Galt,comedia,9.1
9,The Man From The Alamo,comedia,9.7
13,Fall From Grace,comedia,2.7
18,Chu Chin Chow,comedia,1.4
19,Cannibal Holocaust,comedia,2.3
26,In the Cut,comedia,3.4
27,Telefon,comedia,7.7
32,Chance of a Lifetime,comedia,9.7
33,The Snow White Murder Case,comedia,7.3
37,Designing Woman,comedia,3.7
42,Experiment in Terror,comedia,3.4
43,At the Earths Core,comedia,2.9
45,Presidents Man,comedia,9.6
49,Horrible Bosses 2,comedia,8.7
54,Heartlands,comedia,9.6
60,Flying Down to Rio,comedia,9.9
64,Ugly Truth,comedia,2.3
66,My Sassy Girl,comedia,9.7
73,Deep Rising,comedia,8.4
82,Rogue Cop,comedia,4.0
90,Cheech and Chong,comedia,2.4
91,Take Me Out to the Ball Game,comedia,7.0
97,Vie en Rose,comedia,2.3
100,You Kill Me,comedia,1.1
