id_peli,titulo,genero,rating
12,Romantic Comedy,terror,4.3
21,Sgt Kabukiman,terror,3.2
29,Dirty Work,terror,2.5
31,Floundering,terror,3.5
38,Battlestar Galactica,terror,3.9
41,Brute The Bruto,terror,5.1
47,Raiders of the Lost Ark,terror,6.5
53,47 Ronin,terror,4.8
56,Minions,terror,2.5
59,1969,terror,8.8
67,Mystery Science Theater 3000,terror,7.9
68,Mountaintop Motel Massacre,terror,1.4
74,In America,terror,1.9
77,Doubt,terror,9.2
78,Dark Horse,terror,2.5
84,Greatest Show on Earth,terror,5.8
86,Creepshow 2,terror,2.2
89,Phantom,terror,7.8
92,Silent House,terror,6.5
98,Best Defense,terror,1.9
